Most Mentioned Executives
11751 documents  From All Dates

Executive,Document Count
Malcolm Bligh Turnbull,1275
Matthew Comyn,457
Rowena Orr,435
Barnaby Thomas Gerard Joyce,420
Andrew Gregory Thorburn,414
Ian M Narev,369
Catherine Michelle Brenner,349
Brian Hartzer,343
Anthony John Abbott,323
Kenneth Ross Henry PhD,225
Shayne Cary Elliott,219
Kelly Megan O'Dwyer,213
Peter Craig Dutton,205
Donald John Trump,202
Craig Meller,200
Catherine Brighid Livingstone,164
Anna Bligh,144
George Robert Christensen,128
Sam Dastyari,115
Tanya Joan Plibersek,114
Brian Salter,102
Peter Kell,101
Charles Christian Porter,94
Greg Medcraft,90
Philip Lowe,89
David M Gonski,87
Holly Suzanna Kramer,82
Rodney Graham Sims,80
Michael Wilkins,78
Julia Gillard,74
Lindsay Philip Maxsted,73
Vanessa Miscamble Wallace,69
Nicholas W Moore,66
Matthew James Canavan,66
David Cohen,61
Craig Orton,60
Gerard Brody,58
Kate Katherine Carnell,56
Shane Oliver,52
David Murray,52
A David Gall EMBA,51
David Murray,51
Cory Bernardi,49
Sally Mcmanus,48
Steven Michele Ciobo,47
Jack Regan,45
Jennifer Anne Westacott,44
Mike Baird,44
David Victor Murray MBA,43
Marnie A Baker,41
Paul Dales,39
Alan Joseph Joyce,39
Cathie Armour,39
Mitchell Peter Fifield,38
Darren Jeffrey Chester,38
Antony Catalano,38
Paul Keating,37
Michael Alfred Chaney,36
John A Williams,35
Ahmed Fahour,35
David Ean Leyonhjelm,34
John Arthur Fraser,33
James Douglas Packer,33
Stuart Rowland Robert,31
Barry James O'Sullivan,31
Christopher F Kelaher,30
Rupert Murdoch,30
Craig W Dunn,29
Mike Hirst,29
Craig Kelly,29
Rex Lyall Patrick,29
Solomon Lew,29
George Frazis,29
Christopher Richardson,28
Sally Loane,28
Gladys Berejiklian,26
Andrew R Penn,26
Robert Scott,26
Clive Frederick Palmer,26
Derryn Nigel Hinch,25
Peter Maxwell Cosgrove,25
Kerry Matthew Stokes,25
Michael Kane,25
Ilana Rachel Atlas,25
Wayne Maxwell Swan,23
Daniel Michael Andrews,23
Larissa Joy Waters,23
Gail Patricia Kelly,23
Jon Sutton,22


Search Summary,
All of these words,
At least one of these words,
None of these words,
This exact phrase,Banking Royal Commission
Date,01/01/2015 to 23/01/2019
Source,All Sources
Author,All Authors
Company,All Companies
Subject, Not Sports
Industry,All Industries
Region,Asia Pacific
Language,English
Results Found,"11,751"
Timestamp,23 January 2019 10:56
"© 2019 Factiva, Inc.  All rights reserved."
